iter	Logloss
0	0.6697549963
1	0.6492659229
2	0.6305967908
3	0.613690023
4	0.5973093693
5	0.5818581052
6	0.5681275301
7	0.5550960956
8	0.5445404718
9	0.533870758
10	0.5245043295
11	0.5150141164
12	0.5048883692
13	0.4964040983
14	0.4893956367
15	0.4824139833
16	0.4760779429
17	0.469227759
18	0.4625519021
19	0.4559018779
20	0.4508999508
21	0.4439708202
22	0.4376056957
23	0.4322048086
24	0.4267830542
25	0.4226309492
26	0.4184559081
27	0.4143152121
28	0.4097140185
29	0.4064216078
30	0.4019790169
31	0.3987161041
32	0.3966660322
33	0.3929656761
34	0.3886904959
35	0.3855350818
36	0.3829727579
37	0.3789668714
38	0.3758626204
39	0.3718882711
40	0.3696135957
41	0.366840708
42	0.3644282085
43	0.3620637981
44	0.3589304926
45	0.3568985096
46	0.3548043092
47	0.3527239118
48	0.3505671097
49	0.3473420002
50	0.3454823935
51	0.3430594899
52	0.3401214082
53	0.3383850541
54	0.3368153422
55	0.3349912925
56	0.3316165656
57	0.3295673804
58	0.3272085564
59	0.3257460181
60	0.3232481876
61	0.3217958169
62	0.3202623714
63	0.3186852407
64	0.3169459013
65	0.3148775041
66	0.3131729532
67	0.3112217494
68	0.3094652374
69	0.3079506789
70	0.3060037313
71	0.3037357949
72	0.3013180638
73	0.3000187982
74	0.2985646541
75	0.2971307861
76	0.2958720727
77	0.2942285866
78	0.2929971247
79	0.2917308447
80	0.2897194629
81	0.2884186899
82	0.2871234441
83	0.2857993507
84	0.2847281172
85	0.2833007517
86	0.2820372205
87	0.2803774189
88	0.2790537984
89	0.2780684871
90	0.2764346365
91	0.2750775871
92	0.2742359522
93	0.2720024201
94	0.2708926443
95	0.2694367859
96	0.2685011007
97	0.2677406588
98	0.2667108051
99	0.2659731812
