iter	Passed	Remaining
0	129	12862
1	272	13347
2	460	14881
3	604	14504
4	743	14133
5	891	13970
6	1034	13745
7	1169	13444
8	1312	13267
9	1456	13108
10	1580	12787
11	1713	12568
12	1850	12385
13	1980	12167
14	2103	11919
15	2243	11779
16	2388	11659
17	2511	11440
18	2634	11232
19	2758	11032
20	2925	11006
21	3074	10901
22	3236	10834
23	3395	10753
24	3528	10585
25	3660	10417
26	3841	10386
27	3986	10251
28	4115	10076
29	4240	9895
30	4383	9755
31	4514	9594
32	4680	9502
33	4820	9356
34	4959	9209
35	5099	9065
36	5251	8941
37	5370	8762
38	5501	8604
39	5635	8453
40	5754	8280
41	5881	8121
42	6008	7965
43	6158	7837
44	6296	7696
45	6433	7552
46	6580	7420
47	6730	7291
48	6849	7129
49	6996	6996
50	7154	6873
51	7285	6724
52	7465	6620
53	7579	6456
54	7710	6308
55	7854	6171
56	7994	6030
57	8129	5886
58	8276	5751
59	8411	5607
60	8530	5454
61	8687	5324
62	8929	5244
63	9073	5103
64	9236	4973
65	9439	4862
66	9606	4731
67	9780	4602
68	9918	4456
69	10066	4314
70	10210	4170
71	10395	4042
72	10527	3893
73	10737	3772
74	10885	3628
75	11016	3478
76	11147	3329
77	11284	3182
78	11434	3039
79	11565	2891
80	11699	2744
81	11843	2599
82	11982	2454
83	12145	2313
84	12273	2165
85	12425	2022
86	12558	1876
87	12701	1732
88	12817	1584
89	12941	1437
90	13055	1291
91	13201	1147
92	13356	1005
93	13492	861
94	13627	717
95	13761	573
96	13920	430
97	14102	287
98	14294	144
99	14442	0
